rodada,data,hora,local,casa,fora,gols_casa,gols_fora
19,05/08/2017,19:00,Maracanã - Rio de Janeiro - RJ,FLU,ATL,3,1
19,06/08/2017,11:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,VIT,0,2
19,06/08/2017,16:00,Allianz Parque - Sao Paulo - SP,PAL,ATL,0,1
19,06/08/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,BOT,0,0
19,06/08/2017,16:00,Couto Pereira - Curitiba - PR,COR,CHA,2,0
19,06/08/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,ATL,2,0
19,06/08/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,SAO,2,1
19,06/08/2017,19:00,Moisés Lucarelli - Campinas - SP,PON,VAS,0,0
19,06/08/2017,19:00,Ressacada - Florianopolis - SC,AVA,SAN,0,0
20,12/08/2017,16:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,COR,1,0
20,12/08/2017,19:00,Manoel Barradas - Salvador - BA,VIT,AVA,0,1
20,13/08/2017,11:00,Morumbi - Sao Paulo - SP,SAO,CRU,3,2
20,13/08/2017,16:00,Raulino de Oliveira - Volta Redonda - RJ,VAS,PAL,1,1
20,13/08/2017,16:00,Independência - Belo Horizonte - MG,ATL,FLA,2,0
20,13/08/2017,16:00,Ilha do Retiro - Recife - PE,SPO,PON,0,0
20,13/08/2017,19:00,Arena da Baixada - Curitiba - PR,ATL,BAH,4,1
20,13/08/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,GRE,1,0
20,14/08/2017,20:00,Pacaembu - Sao Paulo - SP,SAN,FLU,0,0
20,23/08/2017,19:30,Arena Condá - Chapeco - SC,CHA,COR,0,1
21,19/08/2017,16:00,Arena Corinthians - Sao Paulo - SP,COR,VIT,0,1
21,19/08/2017,19:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,ATL,2,0
21,20/08/2017,11:00,Arena do Grêmio - Porto Alegre - RS,GRE,ATL,0,0
21,20/08/2017,16:00,Moisés Lucarelli - Campinas - SP,PON,BOT,2,1
21,20/08/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,SPO,2,0
21,20/08/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,VAS,3,0
21,20/08/2017,16:00,Ressacada - Florianopolis - SC,AVA,SAO,1,1
21,20/08/2017,19:00,Allianz Parque - Sao Paulo - SP,PAL,CHA,0,2
21,20/08/2017,19:00,Couto Pereira - Curitiba - PR,COR,SAN,0,0
21,21/08/2017,20:00,Maracanã - Rio de Janeiro - RJ,FLU,ATL,2,1
22,26/08/2017,16:00,Maracanã - Rio de Janeiro - RJ,FLU,VAS,0,1
22,26/08/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,ATL,0,1
22,27/08/2017,16:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,ATL,2,0
22,27/08/2017,16:00,Allianz Parque - Sao Paulo - SP,PAL,SAO,4,2
22,27/08/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,BOT,1,2
22,27/08/2017,16:00,Moisés Lucarelli - Campinas - SP,PON,ATL,1,2
22,27/08/2017,19:00,Mineirão - Belo Horizonte - MG,CRU,SAN,1,1
22,27/08/2017,19:00,Ressacada - Florianopolis - SC,AVA,CHA,1,0
22,28/08/2017,20:00,Couto Pereira - Curitiba - PR,COR,VIT,0,1
22,02/09/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,SPO,5,0
23,09/09/2017,16:00,Independência - Belo Horizonte - MG,ATL,PAL,1,1
23,09/09/2017,18:00,São Januário - Rio de Janeiro - RJ,VAS,GRE,1,0
23,09/09/2017,19:00,Morumbi - Sao Paulo - SP,SAO,PON,2,2
23,10/09/2017,11:00,Arena da Baixada - Curitiba - PR,ATL,COR,1,1
23,10/09/2017,16:00,Vila Belmiro - Santos - SP,SAN,COR,2,0
23,10/09/2017,16:00,Ilha do Retiro - Recife - PE,SPO,AVA,0,1
23,10/09/2017,16:00,Manoel Barradas - Salvador - BA,VIT,FLU,2,2
23,10/09/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,FLA,2,0
23,10/09/2017,19:00,Arena Condá - Chapeco - SC,CHA,CRU,1,2
23,11/09/2017,20:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,BAH,1,1
24,16/09/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,SAN,2,0
24,16/09/2017,21:00,Moisés Lucarelli - Campinas - SP,PON,ATL,1,3
24,17/09/2017,11:00,Ressacada - Florianopolis - SC,AVA,ATL,1,1
24,17/09/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,CHA,0,1
24,17/09/2017,16:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,SPO,2,0
24,17/09/2017,16:00,Arena Corinthians - Sao Paulo - SP,COR,VAS,1,0
24,17/09/2017,16:00,Manoel Barradas - Salvador - BA,VIT,SAO,1,2
24,17/09/2017,16:00,Arena da Baixada - Curitiba - PR,ATL,FLU,3,1
24,17/09/2017,19:00,Mineirão - Belo Horizonte - MG,CRU,BAH,1,0
24,18/09/2017,20:00,Pacaembu - Sao Paulo - SP,PAL,COR,1,0
25,23/09/2017,19:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,AVA,1,1
25,23/09/2017,21:00,Vila Belmiro - Santos - SP,SAN,ATL,1,0
25,24/09/2017,11:00,Morumbi - Sao Paulo - SP,SAO,COR,1,1
25,24/09/2017,16:00,Arena Condá - Chapeco - SC,CHA,PON,1,0
25,24/09/2017,16:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,CRU,1,2
25,24/09/2017,16:00,Couto Pereira - Curitiba - PR,COR,BOT,2,3
25,24/09/2017,16:00,Maracanã - Rio de Janeiro - RJ,FLU,PAL,0,1
25,24/09/2017,19:00,Independência - Belo Horizonte - MG,ATL,VIT,1,3
25,24/09/2017,19:00,Arena Fonte Nova - Salvador - BA,BAH,GRE,1,0
25,25/09/2017,20:00,Ilha do Retiro - Recife - PE,SPO,VAS,1,1
26,30/09/2017,16:00,São Januário - Rio de Janeiro - RJ,VAS,CHA,1,1
26,30/09/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,COR,1,1
